date,item,sales
2013-01-04,45,450
2013-01-04,46,351
2013-01-04,47,128
2013-01-04,48,296
2013-01-04,49,184
2013-01-04,50,394
2013-01-05,1,149
2013-01-05,2,377
2013-01-05,3,217
2013-01-05,4,144
2013-01-05,5,100
2013-01-05,6,343
2013-01-05,7,377
2013-01-05,8,481
2013-01-05,9,319
2013-01-05,10,449
2013-01-05,11,417
2013-01-05,12,438
2013-01-05,13,493
2013-01-05,14,366
2013-01-05,15,604
2013-01-05,16,145
2013-01-05,17,172
2013-01-05,18,544
2013-01-05,19,260
2013-01-05,20,277
2013-01-05,21,243
2013-01-05,22,459
2013-01-05,23,212
2013-01-05,24,364
2013-01-05,25,510
2013-01-05,26,298
2013-01-05,27,118
2013-01-05,28,575
2013-01-05,29,468
2013-01-05,30,255
2013-01-05,31,356
2013-01-05,32,240
2013-01-05,33,414
2013-01-05,34,145
2013-01-05,35,448
2013-01-05,36,453
2013-01-05,37,189
2013-01-05,38,509
2013-01-05,39,283
2013-01-05,40,174
2013-01-05,41,142
2013-01-05,42,243
2013-01-05,43,309
2013-01-05,44,202
2013-01-05,45,533
2013-01-05,46,360
2013-01-05,47,133
2013-01-05,48,344
2013-01-05,49,179
2013-01-05,50,407
2013-01-06,1,149
2013-01-06,2,421
2013-01-06,3,246
2013-01-06,4,128
2013-01-06,5,125
2013-01-06,6,375
2013-01-06,7,342
2013-01-06,8,521
2013-01-06,9,326
2013-01-06,10,530
2013-01-06,11,488
2013-01-06,12,487
2013-01-06,13,522
2013-01-06,14,400
2013-01-06,15,567
2013-01-06,16,164
2013-01-06,17,205
2013-01-06,18,558
2013-01-06,19,261
2013-01-06,20,325
2013-01-06,21,276
2013-01-06,22,567
2013-01-06,23,170
2013-01-06,24,414
2013-01-06,25,534
2013-01-06,26,309
2013-01-06,27,164
2013-01-06,28,573
2013-01-06,29,464
2013-01-06,30,256
2013-01-06,31,379
2013-01-06,32,284
2013-01-06,33,452
2013-01-06,34,172
2013-01-06,35,452
2013-01-06,36,507
2013-01-06,37,183
2013-01-06,38,530
2013-01-06,39,299
2013-01-06,40,185
2013-01-06,41,137
2013-01-06,42,228
2013-01-06,43,348
2013-01-06,44,206
2013-01-06,45,558
2013-01-06,46,384
2013-01-06,47,163
2013-01-06,48,354
2013-01-06,49,204
2013-01-06,50,399
2013-01-07,1,92
2013-01-07,2,253
2013-01-07,3,185
2013-01-07,4,100
2013-01-07,5,71
2013-01-07,6,246
2013-01-07,7,260
2013-01-07,8,346
2013-01-07,9,241
2013-01-07,10,334
2013-01-07,11,318
2013-01-07,12,328
2013-01-07,13,396
2013-01-07,14,289
2013-01-07,15,406
2013-01-07,16,118
2013-01-07,17,145
2013-01-07,18,368
2013-01-07,19,190
2013-01-07,20,227
2013-01-07,21,215
2013-01-07,22,356
2013-01-07,23,111
2013-01-07,24,299
2013-01-07,25,363
2013-01-07,26,214
2013-01-07,27,103
2013-01-07,28,402
2013-01-07,29,307
2013-01-07,30,215
2013-01-07,31,262
2013-01-07,32,204
2013-01-07,33,287
2013-01-07,34,120
2013-01-07,35,272
2013-01-07,36,356
2013-01-07,37,136
2013-01-07,38,335
2013-01-07,39,189
2013-01-07,40,120
2013-01-07,41,106
2013-01-07,42,123
2013-01-07,43,249
2013-01-07,44,137
2013-01-07,45,341
2013-01-07,46,258
2013-01-07,47,99
2013-01-07,48,263
2013-01-07,49,134
2013-01-07,50,280
2013-01-08,1,119
2013-01-08,2,311
2013-01-08,3,181
2013-01-08,4,101
2013-01-08,5,94
2013-01-08,6,279
2013-01-08,7,323
2013-01-08,8,375
2013-01-08,9,273
2013-01-08,10,369
2013-01-08,11,361
2013-01-08,12,385
2013-01-08,13,438
2013-01-08,14,277
2013-01-08,15,477
2013-01-08,16,105
2013-01-08,17,169
2013-01-08,18,462
2013-01-08,19,226
2013-01-08,20,245
2013-01-08,21,209
2013-01-08,22,386
2013-01-08,23,170
2013-01-08,24,349
2013-01-08,25,445
2013-01-08,26,247
2013-01-08,27,118
2013-01-08,28,459
2013-01-08,29,373
2013-01-08,30,233
2013-01-08,31,302
2013-01-08,32,214
2013-01-08,33,325
2013-01-08,34,126
2013-01-08,35,334
2013-01-08,36,390
2013-01-08,37,150
2013-01-08,38,416
2013-01-08,39,229
2013-01-08,40,150
2013-01-08,41,130
2013-01-08,42,205
2013-01-08,43,273
2013-01-08,44,165
2013-01-08,45,403
2013-01-08,46,320
2013-01-08,47,102
2013-01-08,48,257
2013-01-08,49,146
2013-01-08,50,364
2013-01-09,1,114
2013-01-09,2,298
2013-01-09,3,182
2013-01-09,4,122
2013-01-09,5,100
2013-01-09,6,293
2013-01-09,7,350
2013-01-09,8,424
2013-01-09,9,256
2013-01-09,10,403
2013-01-09,11,372
2013-01-09,12,380
2013-01-09,13,459
2013-01-09,14,343
2013-01-09,15,460
2013-01-09,16,128
2013-01-09,17,157
2013-01-09,18,433
2013-01-09,19,217
2013-01-09,20,281
2013-01-09,21,219
2013-01-09,22,407
2013-01-09,23,150
2013-01-09,24,351
2013-01-09,25,427
2013-01-09,26,237
2013-01-09,27,116
2013-01-09,28,479
2013-01-09,29,376
2013-01-09,30,238
2013-01-09,31,290
2013-01-09,32,248
2013-01-09,33,374
2013-01-09,34,151
2013-01-09,35,351
2013-01-09,36,412
2013-01-09,37,152
2013-01-09,38,411
2013-01-09,39,244
2013-01-09,40,167
2013-01-09,41,124
2013-01-09,42,193
2013-01-09,43,278
2013-01-09,44,160
2013-01-09,45,409
2013-01-09,46,291
2013-01-09,47,122
2013-01-09,48,246
2013-01-09,49,148
2013-01-09,50,335
2013-01-10,1,103
2013-01-10,2,335
2013-01-10,3,202
2013-01-10,4,120
2013-01-10,5,102
2013-01-10,6,322
2013-01-10,7,320
2013-01-10,8,431
2013-01-10,9,266
2013-01-10,10,411
2013-01-10,11,389
2013-01-10,12,379
2013-01-10,13,457
2013-01-10,14,336
2013-01-10,15,505
2013-01-10,16,128
2013-01-10,17,193
2013-01-10,18,445
2013-01-10,19,223
2013-01-10,20,261
2013-01-10,21,247
2013-01-10,22,424
2013-01-10,23,171
2013-01-10,24,355
2013-01-10,25,471
2013-01-10,26,274
2013-01-10,27,107
2013-01-10,28,527
2013-01-10,29,372
2013-01-10,30,232
2013-01-10,31,354
2013-01-10,32,251
2013-01-10,33,406
2013-01-10,34,141
2013-01-10,35,336
2013-01-10,36,448
2013-01-10,37,182
2013-01-10,38,417
2013-01-10,39,241
2013-01-10,40,167
2013-01-10,41,135
2013-01-10,42,208
2013-01-10,43,288
2013-01-10,44,180
2013-01-10,45,432
2013-01-10,46,383
2013-01-10,47,134
2013-01-10,48,273
2013-01-10,49,167
2013-01-10,50,391
2013-01-11,1,139
2013-01-11,2,360
2013-01-11,3,225
2013-01-11,4,119
2013-01-11,5,104
2013-01-11,6,361
2013-01-11,7,344
2013-01-11,8,478
2013-01-11,9,300
2013-01-11,10,428
2013-01-11,11,395
2013-01-11,12,446
2013-01-11,13,533
2013-01-11,14,365
2013-01-11,15,545
2013-01-11,16,147
2013-01-11,17,203
2013-01-11,18,464
2013-01-11,19,248
2013-01-11,20,283
2013-01-11,21,247
2013-01-11,22,505
2013-01-11,23,166
2013-01-11,24,393
2013-01-11,25,496
2013-01-11,26,288
2013-01-11,27,136
2013-01-11,28,515
2013-01-11,29,431
2013-01-11,30,247
2013-01-11,31,360
2013-01-11,32,236
2013-01-11,33,416
2013-01-11,34,150
2013-01-11,35,339
2013-01-11,36,450
2013-01-11,37,170
2013-01-11,38,490
2013-01-11,39,267
2013-01-11,40,189
2013-01-11,41,125
2013-01-11,42,203
2013-01-11,43,325
2013-01-11,44,159
2013-01-11,45,490
2013-01-11,46,361
2013-01-11,47,124
2013-01-11,48,306
2013-01-11,49,176
2013-01-11,50,386
2013-01-12,1,126
2013-01-12,2,397
2013-01-12,3,245
2013-01-12,4,130
2013-01-12,5,102
2013-01-12,6,393
2013-01-12,7,340
2013-01-12,8,514
2013-01-12,9,331
2013-01-12,10,480
2013-01-12,11,433
2013-01-12,12,441
2013-01-12,13,521
2013-01-12,14,371
2013-01-12,15,528
2013-01-12,16,135
2013-01-12,17,217
2013-01-12,18,538
2013-01-12,19,269
2013-01-12,20,304
2013-01-12,21,240
2013-01-12,22,536
2013-01-12,23,179
2013-01-12,24,409
2013-01-12,25,521
2013-01-12,26,306
2013-01-12,27,129
2013-01-12,28,570
2013-01-12,29,487
2013-01-12,30,227
2013-01-12,31,343
2013-01-12,32,275
2013-01-12,33,445
2013-01-12,34,156
2013-01-12,35,438
2013-01-12,36,503
2013-01-12,37,184
2013-01-12,38,513
2013-01-12,39,297
2013-01-12,40,189
2013-01-12,41,158
2013-01-12,42,225
2013-01-12,43,307
2013-01-12,44,196
2013-01-12,45,520
2013-01-12,46,368
2013-01-12,47,145
2013-01-12,48,353
2013-01-12,49,177
2013-01-12,50,468
2013-01-13,1,170
2013-01-13,2,396
2013-01-13,3,252
2013-01-13,4,140
2013-01-13,5,119
2013-01-13,6,386
2013-01-13,7,397
2013-01-13,8,571
2013-01-13,9,359
2013-01-13,10,480
2013-01-13,11,479
2013-01-13,12,470
2013-01-13,13,563
2013-01-13,14,393
2013-01-13,15,598
2013-01-13,16,167
2013-01-13,17,219
2013-01-13,18,551
2013-01-13,19,290
2013-01-13,20,318
2013-01-13,21,253
2013-01-13,22,586
2013-01-13,23,189
2013-01-13,24,456
2013-01-13,25,547
2013-01-13,26,306
2013-01-13,27,146
2013-01-13,28,610
2013-01-13,29,476
2013-01-13,30,243
2013-01-13,31,350
2013-01-13,32,292
2013-01-13,33,471
2013-01-13,34,166
2013-01-13,35,447
2013-01-13,36,537
2013-01-13,37,189
2013-01-13,38,573
2013-01-13,39,314
2013-01-13,40,195
2013-01-13,41,141
2013-01-13,42,262
2013-01-13,43,336
2013-01-13,44,186
2013-01-13,45,576
2013-01-13,46,412
2013-01-13,47,153
2013-01-13,48,362
2013-01-13,49,227
2013-01-13,50,422
2013-01-14,1,92
2013-01-14,2,251
2013-01-14,3,179
2013-01-14,4,107
2013-01-14,5,93
2013-01-14,6,265
2013-01-14,7,261
2013-01-14,8,337
2013-01-14,9,234
2013-01-14,10,315
2013-01-14,11,324
2013-01-14,12,275
2013-01-14,13,382
2013-01-14,14,277
2013-01-14,15,387
2013-01-14,16,102
2013-01-14,17,148
2013-01-14,18,377
2013-01-14,19,189
2013-01-14,20,218
2013-01-14,21,214
2013-01-14,22,352
2013-01-14,23,145
2013-01-14,24,266
2013-01-14,25,385
2013-01-14,26,209
2013-01-14,27,92
2013-01-14,28,388
2013-01-14,29,315
2013-01-14,30,178
2013-01-14,31,256
2013-01-14,32,212
2013-01-14,33,317
2013-01-14,34,129
2013-01-14,35,284
2013-01-14,36,343
2013-01-14,37,139
2013-01-14,38,346
2013-01-14,39,217
2013-01-14,40,138
2013-01-14,41,88
2013-01-14,42,172
2013-01-14,43,237
2013-01-14,44,142
2013-01-14,45,350
2013-01-14,46,273
2013-01-14,47,94
2013-01-14,48,211
2013-01-14,49,142
2013-01-14,50,299
2013-01-15,1,121
2013-01-15,2,323
2013-01-15,3,214
2013-01-15,4,108
2013-01-15,5,101
2013-01-15,6,307
2013-01-15,7,318
2013-01-15,8,410
2013-01-15,9,308
2013-01-15,10,348
2013-01-15,11,349
2013-01-15,12,370
2013-01-15,13,417
2013-01-15,14,312
2013-01-15,15,481
2013-01-15,16,139
2013-01-15,17,185
2013-01-15,18,456
2013-01-15,19,216
2013-01-15,20,241
2013-01-15,21,203
2013-01-15,22,409
2013-01-15,23,167
2013-01-15,24,338
2013-01-15,25,357
2013-01-15,26,256
2013-01-15,27,106
2013-01-15,28,490
2013-01-15,29,367
2013-01-15,30,202
2013-01-15,31,300
2013-01-15,32,210
2013-01-15,33,360
2013-01-15,34,128
2013-01-15,35,341
2013-01-15,36,359
2013-01-15,37,153
2013-01-15,38,427
2013-01-15,39,229
2013-01-15,40,155
2013-01-15,41,120
2013-01-15,42,208
2013-01-15,43,279
2013-01-15,44,131
2013-01-15,45,443
2013-01-15,46,301
2013-01-15,47,120
2013-01-15,48,237
2013-01-15,49,160
2013-01-15,50,345
2013-01-16,1,116
2013-01-16,2,289
2013-01-16,3,193
2013-01-16,4,119
2013-01-16,5,90
2013-01-16,6,260
2013-01-16,7,336
2013-01-16,8,438
2013-01-16,9,255
2013-01-16,10,412
2013-01-16,11,349
2013-01-16,12,313
2013-01-16,13,417
2013-01-16,14,302
2013-01-16,15,482
2013-01-16,16,132
2013-01-16,17,187
2013-01-16,18,424
2013-01-16,19,203
2013-01-16,20,245
2013-01-16,21,205
2013-01-16,22,418
2013-01-16,23,141
2013-01-16,24,346
2013-01-16,25,433
2013-01-16,26,228
2013-01-16,27,109
2013-01-16,28,432
2013-01-16,29,399
2013-01-16,30,220
2013-01-16,31,295
2013-01-16,32,225
2013-01-16,33,369
2013-01-16,34,141
2013-01-16,35,343
2013-01-16,36,381
2013-01-16,37,170
2013-01-16,38,428
2013-01-16,39,233
2013-01-16,40,170
2013-01-16,41,93
2013-01-16,42,198
2013-01-16,43,275
2013-01-16,44,146
2013-01-16,45,426
2013-01-16,46,283
2013-01-16,47,102
2013-01-16,48,269
2013-01-16,49,172
2013-01-16,50,379
2013-01-17,1,122
2013-01-17,2,374
2013-01-17,3,201
2013-01-17,4,134
2013-01-17,5,92
2013-01-17,6,325
2013-01-17,7,325
2013-01-17,8,437
2013-01-17,9,305
2013-01-17,10,398
2013-01-17,11,380
2013-01-17,12,396
2013-01-17,13,469
2013-01-17,14,341
2013-01-17,15,451
2013-01-17,16,141
2013-01-17,17,170
2013-01-17,18,502
2013-01-17,19,233
2013-01-17,20,241
2013-01-17,21,213
2013-01-17,22,455
2013-01-17,23,162
2013-01-17,24,400
2013-01-17,25,463
2013-01-17,26,249
2013-01-17,27,117
2013-01-17,28,494
2013-01-17,29,385
2013-01-17,30,201
2013-01-17,31,358
2013-01-17,32,243
2013-01-17,33,393
2013-01-17,34,145
2013-01-17,35,380
2013-01-17,36,450
2013-01-17,37,153
2013-01-17,38,458
2013-01-17,39,227
2013-01-17,40,163
2013-01-17,41,125
2013-01-17,42,206
2013-01-17,43,256
2013-01-17,44,193
2013-01-17,45,433
2013-01-17,46,339
2013-01-17,47,109
2013-01-17,48,277
2013-01-17,49,146
2013-01-17,50,357
2013-01-18,1,122
2013-01-18,2,390
2013-01-18,3,223
2013-01-18,4,122
2013-01-18,5,97
2013-01-18,6,362
2013-01-18,7,365
2013-01-18,8,463
2013-01-18,9,308
2013-01-18,10,431
2013-01-18,11,432
2013-01-18,12,453
2013-01-18,13,524
2013-01-18,14,341
2013-01-18,15,516
2013-01-18,16,166
2013-01-18,17,201
2013-01-18,18,551
2013-01-18,19,236
2013-01-18,20,269
2013-01-18,21,220
2013-01-18,22,455
2013-01-18,23,157
2013-01-18,24,417
2013-01-18,25,457
2013-01-18,26,306
2013-01-18,27,128
2013-01-18,28,541
2013-01-18,29,405
2013-01-18,30,190
2013-01-18,31,339
2013-01-18,32,265
2013-01-18,33,395
2013-01-18,34,140
2013-01-18,35,392
2013-01-18,36,436
2013-01-18,37,164
2013-01-18,38,464
2013-01-18,39,242
2013-01-18,40,149
2013-01-18,41,130
2013-01-18,42,244
2013-01-18,43,293
2013-01-18,44,209
2013-01-18,45,492
2013-01-18,46,351
2013-01-18,47,126
2013-01-18,48,293
2013-01-18,49,144
2013-01-18,50,379
2013-01-19,1,139
2013-01-19,2,370
2013-01-19,3,205
2013-01-19,4,127
2013-01-19,5,108
2013-01-19,6,363
2013-01-19,7,372
2013-01-19,8,451
2013-01-19,9,335
2013-01-19,10,467
2013-01-19,11,435
2013-01-19,12,429
2013-01-19,13,554
2013-01-19,14,361
2013-01-19,15,552
2013-01-19,16,158
2013-01-19,17,218
2013-01-19,18,554
2013-01-19,19,204
2013-01-19,20,292
2013-01-19,21,259
2013-01-19,22,509
2013-01-19,23,190
2013-01-19,24,440
2013-01-19,25,526
2013-01-19,26,288
2013-01-19,27,137
2013-01-19,28,500
2013-01-19,29,447
2013-01-19,30,263
2013-01-19,31,351
2013-01-19,32,298
2013-01-19,33,409
2013-01-19,34,157
2013-01-19,35,401
2013-01-19,36,448
2013-01-19,37,174
2013-01-19,38,506
2013-01-19,39,282
2013-01-19,40,191
2013-01-19,41,126
2013-01-19,42,248
2013-01-19,43,322
2013-01-19,44,204
2013-01-19,45,494
2013-01-19,46,366
2013-01-19,47,150
2013-01-19,48,329
2013-01-19,49,160
2013-01-19,50,425
2013-01-20,1,153
2013-01-20,2,430
2013-01-20,3,237
2013-01-20,4,150
2013-01-20,5,120
2013-01-20,6,427
2013-01-20,7,399
2013-01-20,8,537
2013-01-20,9,351
2013-01-20,10,466
2013-01-20,11,480
2013-01-20,12,495
2013-01-20,13,571
2013-01-20,14,403
2013-01-20,15,573
2013-01-20,16,176
2013-01-20,17,203
2013-01-20,18,557
2013-01-20,19,261
2013-01-20,20,337
2013-01-20,21,263
2013-01-20,22,539
2013-01-20,23,190
2013-01-20,24,458
2013-01-20,25,521
2013-01-20,26,294
2013-01-20,27,159
2013-01-20,28,590
2013-01-20,29,469
2013-01-20,30,270
2013-01-20,31,396
2013-01-20,32,321
2013-01-20,33,434
2013-01-20,34,176
2013-01-20,35,443
2013-01-20,36,527
2013-01-20,37,186
2013-01-20,38,562
2013-01-20,39,251
2013-01-20,40,194
2013-01-20,41,157
2013-01-20,42,239
2013-01-20,43,352
2013-01-20,44,201
2013-01-20,45,539
2013-01-20,46,367
2013-01-20,47,171
2013-01-20,48,348
2013-01-20,49,194
2013-01-20,50,475
2013-01-21,1,94
2013-01-21,2,235
2013-01-21,3,171
2013-01-21,4,94
2013-01-21,5,77
2013-01-21,6,242
2013-01-21,7,256
2013-01-21,8,355
2013-01-21,9,216
2013-01-21,10,337
2013-01-21,11,318
2013-01-21,12,293
2013-01-21,13,392
2013-01-21,14,243
2013-01-21,15,392
2013-01-21,16,107
2013-01-21,17,158
2013-01-21,18,378
2013-01-21,19,171
2013-01-21,20,222
2013-01-21,21,186
2013-01-21,22,356
2013-01-21,23,135
2013-01-21,24,316
2013-01-21,25,359
2013-01-21,26,217
2013-01-21,27,110
2013-01-21,28,405
2013-01-21,29,294
2013-01-21,30,200
2013-01-21,31,231
2013-01-21,32,192
2013-01-21,33,309
2013-01-21,34,117
2013-01-21,35,293
2013-01-21,36,357
2013-01-21,37,135
2013-01-21,38,360
2013-01-21,39,189
2013-01-21,40,138
2013-01-21,41,95
2013-01-21,42,174
2013-01-21,43,245
2013-01-21,44,120
2013-01-21,45,380
2013-01-21,46,292
2013-01-21,47,108
2013-01-21,48,235
2013-01-21,49,125
2013-01-21,50,285
2013-01-22,1,96
2013-01-22,2,337
2013-01-22,3,196
2013-01-22,4,105
2013-01-22,5,94
2013-01-22,6,287
2013-01-22,7,285
2013-01-22,8,395
2013-01-22,9,260
2013-01-22,10,387
2013-01-22,11,355
2013-01-22,12,341
2013-01-22,13,460
2013-01-22,14,306
2013-01-22,15,463
2013-01-22,16,156
2013-01-22,17,185
2013-01-22,18,417
2013-01-22,19,208
2013-01-22,20,265
2013-01-22,21,194
2013-01-22,22,426
2013-01-22,23,143
2013-01-22,24,345
2013-01-22,25,426
2013-01-22,26,256
2013-01-22,27,117
2013-01-22,28,466
2013-01-22,29,371
2013-01-22,30,235
2013-01-22,31,322
2013-01-22,32,272
2013-01-22,33,388
2013-01-22,34,144
2013-01-22,35,331
2013-01-22,36,362
2013-01-22,37,142
2013-01-22,38,438
2013-01-22,39,235
2013-01-22,40,158
2013-01-22,41,122
2013-01-22,42,192
2013-01-22,43,281
2013-01-22,44,143
2013-01-22,45,428
2013-01-22,46,308
2013-01-22,47,114
2013-01-22,48,268
2013-01-22,49,172
2013-01-22,50,327
2013-01-23,1,126
2013-01-23,2,272
2013-01-23,3,205
2013-01-23,4,101
2013-01-23,5,89
2013-01-23,6,296
2013-01-23,7,314
2013-01-23,8,420
2013-01-23,9,255
2013-01-23,10,414
2013-01-23,11,389
2013-01-23,12,367
2013-01-23,13,438
2013-01-23,14,303
2013-01-23,15,425
2013-01-23,16,137
2013-01-23,17,154
2013-01-23,18,465
2013-01-23,19,224
2013-01-23,20,249
2013-01-23,21,210
2013-01-23,22,429
2013-01-23,23,142
2013-01-23,24,371
2013-01-23,25,404
2013-01-23,26,225
2013-01-23,27,116
2013-01-23,28,426
2013-01-23,29,390
2013-01-23,30,193
2013-01-23,31,298
2013-01-23,32,236
2013-01-23,33,389
2013-01-23,34,137
2013-01-23,35,336
2013-01-23,36,425
2013-01-23,37,135
2013-01-23,38,449
2013-01-23,39,227
2013-01-23,40,156
2013-01-23,41,118
2013-01-23,42,193
2013-01-23,43,262
2013-01-23,44,121
2013-01-23,45,413
2013-01-23,46,313
2013-01-23,47,112
2013-01-23,48,248
2013-01-23,49,150
2013-01-23,50,346
2013-01-24,1,102
2013-01-24,2,344
2013-01-24,3,204
2013-01-24,4,115
2013-01-24,5,109
2013-01-24,6,342
2013-01-24,7,315
2013-01-24,8,461
2013-01-24,9,291
2013-01-24,10,395
2013-01-24,11,368
2013-01-24,12,392
2013-01-24,13,457
2013-01-24,14,320
2013-01-24,15,497
2013-01-24,16,118
2013-01-24,17,209
2013-01-24,18,424
2013-01-24,19,237
2013-01-24,20,290
2013-01-24,21,219
2013-01-24,22,443
2013-01-24,23,151
2013-01-24,24,343
2013-01-24,25,432
2013-01-24,26,245
2013-01-24,27,130
2013-01-24,28,498
2013-01-24,29,378
2013-01-24,30,218
2013-01-24,31,313
2013-01-24,32,253
2013-01-24,33,442
2013-01-24,34,142
2013-01-24,35,354
2013-01-24,36,450
2013-01-24,37,163
2013-01-24,38,432
2013-01-24,39,231
2013-01-24,40,162
2013-01-24,41,104
2013-01-24,42,196
2013-01-24,43,304
2013-01-24,44,180
2013-01-24,45,462
2013-01-24,46,326
2013-01-24,47,134
2013-01-24,48,236
2013-01-24,49,172
2013-01-24,50,369
2013-01-25,1,126
2013-01-25,2,358
2013-01-25,3,227
2013-01-25,4,127
2013-01-25,5,91
2013-01-25,6,370
2013-01-25,7,337
2013-01-25,8,433
2013-01-25,9,325
2013-01-25,10,446
2013-01-25,11,425
2013-01-25,12,432
2013-01-25,13,511
2013-01-25,14,408
2013-01-25,15,516
2013-01-25,16,146
2013-01-25,17,205
2013-01-25,18,540
2013-01-25,19,247
2013-01-25,20,271
2013-01-25,21,241
2013-01-25,22,505
2013-01-25,23,188
2013-01-25,24,391
2013-01-25,25,467
2013-01-25,26,274
2013-01-25,27,129
2013-01-25,28,552
2013-01-25,29,426
2013-01-25,30,215
2013-01-25,31,328
2013-01-25,32,229
2013-01-25,33,422
2013-01-25,34,135
2013-01-25,35,397
2013-01-25,36,427
2013-01-25,37,164
2013-01-25,38,501
2013-01-25,39,282
2013-01-25,40,185
2013-01-25,41,135
2013-01-25,42,218
2013-01-25,43,298
2013-01-25,44,157
2013-01-25,45,463
2013-01-25,46,331
2013-01-25,47,148
2013-01-25,48,304
2013-01-25,49,158
2013-01-25,50,429
2013-01-26,1,124
2013-01-26,2,385
2013-01-26,3,215
2013-01-26,4,140
2013-01-26,5,120
2013-01-26,6,347
2013-01-26,7,354
2013-01-26,8,495
2013-01-26,9,317
2013-01-26,10,474
2013-01-26,11,448
2013-01-26,12,441
2013-01-26,13,521
2013-01-26,14,359
2013-01-26,15,544
2013-01-26,16,162
2013-01-26,17,206
2013-01-26,18,573
2013-01-26,19,249
2013-01-26,20,297
2013-01-26,21,266
